,accuracy
0,0.8176673567977916
1,0.8178053830227743
2,0.8179434092477571
3,0.8176673567977916
4,0.8183574879227054
5,0.8183574879227054
6,0.8187715665976536
7,0.8178053830227743
8,0.8176673567977916
9,0.8178053830227743
10,0.8179434092477571
11,0.8171152518978606
12,0.8168391994478951
13,0.8164251207729468
14,0.8161490683229814
15,0.8160110420979986
16,0.8161490683229814
17,0.8161490683229814
18,0.8168391994478951
19,0.8172532781228433
20,0.8169772256728779
21,0.8168391994478951
22,0.8171152518978606
23,0.8172532781228433
24,0.8168391994478951
25,0.8169772256728779
26,0.8169772256728779
27,0.8162870945479641
28,0.8167011732229124
29,0.8164251207729468
