,accuracy
0,0.9033078880407125
1,0.9023704298915227
2,0.9027721976697469
3,0.9023704298915227
4,0.9022365072987814
5,0.9019686621132985
6,0.9017008169278157
7,0.9026382750770054
8,0.9026382750770054
9,0.9022365072987814
10,0.9017008169278157
11,0.9015668943350743
12,0.9011651265568501
13,0.8999598232221776
14,0.9003615910004018
15,0.8998259006294362
16,0.8999598232221776
17,0.9007633587786259
18,0.8999598232221776
19,0.8996919780366948
20,0.8998259006294362
21,0.8991562876657292
22,0.8999598232221776
23,0.8988884424802465
24,0.8983527521092808
25,0.8986205972947636
26,0.8978170617383152
27,0.8971474487746083
28,0.8972813713673496
29,0.8983527521092808
30,0.8978170617383152
31,0.8976831391455738
32,0.8967456809963841
33,0.8960760680326771
34,0.8954064550689701
35,0.8962099906254185
36,0.8970135261818669
37,0.8958082228471943
38,0.895004687290746
39,0.8948707646980045
40,0.8947368421052632
41,0.8951386098834874
42,0.8947368421052632
43,0.8940672291415562
44,0.8948707646980045
45,0.8928619258068836
46,0.893665461363332
47,0.8935315387705905
48,0.892995848399625
49,0.8935315387705905
50,0.8916566224722111
51,0.8921923128431767
52,0.8928619258068836
53,0.8924601580286594
54,0.8924601580286594
55,0.8925940806214008
56,0.8917905450649525
57,0.8907191643230213
58,0.8919244676576938
59,0.8909870095085041
60,0.8920583902504352
61,0.8904513191375385
62,0.8905852417302799
63,0.8893799383956074
64,0.8904513191375385
65,0.8893799383956074
66,0.8893799383956074
67,0.8889781706173832
68,0.8884424802464176
69,0.8883085576536762
70,0.8880407124681934
71,0.8881746350609347
72,0.887906789875452
73,0.887906789875452
74,0.8854961832061069
75,0.8854961832061069
76,0.8857640283915896
77,0.8852283380206241
78,0.8836212669077274
79,0.8838891120932101
80,0.8832194991295031
81,0.8844248024641757
82,0.8837551895004687
83,0.8829516539440203
84,0.8838891120932101
85,0.8837551895004687
86,0.8830855765367618
87,0.8826838087585376
88,0.8824159635730547
89,0.8818802732020892
90,0.8818802732020892
91,0.8800053569037096
92,0.8801392794964511
93,0.8798714343109683
94,0.8790678987545198
95,0.879469666532744
96,0.8789339761617785
97,0.8789339761617785
98,0.8770590598633989
99,0.877728672827106
