,accuracy
0,0.8174439400192599
1,0.8174439400192599
2,0.8177190810290274
3,0.8174439400192599
4,0.8175815105241436
5,0.8173063695143761
6,0.8173063695143761
7,0.8174439400192599
8,0.8175815105241436
9,0.8174439400192599
10,0.8174439400192599
11,0.8178566515339112
12,0.8175815105241436
13,0.8173063695143761
14,0.8171687990094924
15,0.8173063695143761
16,0.8173063695143761
17,0.8170312285046086
18,0.8170312285046086
19,0.8167560874948411
20,0.8163433759801898
21,0.8164809464850736
22,0.8166185169899574
23,0.8164809464850736
24,0.8167560874948411
25,0.8168936579997249
26,0.8164809464850736
27,0.8166185169899574
28,0.8167560874948411
29,0.8167560874948411
